================================================================================
       NOMIC EMBEDDING K-MEANS CLUSTERING KEYWORDS & FREQUENCY REPORT
================================================================================

================================================================================
CLUSTER 0 (Total Records: 36)
================================================================================
Keyword                                  | Frequency 
--------------------------------------------------------------------------------
imps                                     | 20        
brn                                      | 20        
salary                                   | 20        
trf                                      | 20        
cash                                     | 10        
bna                                      | 10        
self                                     | 10        
description                              | 6         
india                                    | 3         
solutions                                | 3         
products                                 | 2         
bhavesh                                  | 2         
modi                                     | 2         
fashion                                  | 2         
textiles                                 | 2         
premium                                  | 2         
systems                                  | 2         
shah                                     | 2         
nisha                                    | 1         
jhaveri                                  | 1         
consumer                                 | 1         
neha                                     | 1         
desai                                    | 1         
daily                                    | 1         
needs                                    | 1         
limited                                  | 1         
trivedi                                  | 1         
anjali                                   | 1         
shukla                                   | 1         
pooja                                    | 1         
bhatt                                    | 1         
netforge                                 | 1         
technologies                             | 1         
foundation                               | 1         
projects                                 | 1         
databridge                               | 1         
infotech                                 | 1         
properties                               | 1         
wellness                                 | 1         
brands                                   | 1         
cybercraft                               | 1         
infrastructure                           | 1         
mindwave                                 | 1         
consulting                               | 1         
cloudtech                                | 1         
services                                 | 1         
kavita                                   | 1         
vitality                                 | 1         
medicines                                | 1         
dairy                                    | 1         
hiral                                    | 1         
mechanical                               | 1         
dinesh                                   | 1         
power                                    | 1         
corp                                     | 1         
mehul                                    | 1         
pandya                                   | 1         
trading                                  | 1         
house                                    | 1         
commerce                                 | 1         
building                                 | 1         


================================================================================
CLUSTER 1 (Total Records: 144)
================================================================================
Keyword                                  | Frequency 
--------------------------------------------------------------------------------
dr                                       | 40        
cr                                       | 40        
bank                                     | 38        
neft                                     | 35        
clg                                      | 22        
del                                      | 22        
accts                                    | 22        
citi                                     | 22        
cit                                      | 22        
upi                                      | 21        
rtgs                                     | 19        
transfer                                 | 17        
icic0sf0002                              | 17        
chq                                      | 16        
paid                                     | 16        
micr                                     | 16        
inward                                   | 16        
clearing                                 | 16        
hdfc                                     | 16        
sent                                     | 13        
india                                    | 13        
hdfc0009038                              | 12        
icic0000011                              | 10        
urgent                                   | 10        
hdfc0004171                              | 9         
cash                                     | 9         
imps                                     | 9         
charges                                  | 9         
atm                                      | 8         
kothari                                  | 7         
vora                                     | 6         
rent                                     | 6         
parekh                                   | 6         
products                                 | 6         
patel                                    | 6         
kavita                                   | 5         
foram                                    | 5         
corp                                     | 5         
dave                                     | 5         
mehta                                    | 5         
service                                  | 5         
modi                                     | 4         
amin                                     | 4         
payment                                  | 4         
dhara                                    | 4         
wdl                                      | 4         
joshi                                    | 4         
thakkar                                  | 4         
neha                                     | 4         
ashish                                   | 4         
withdrawal                               | 4         
riddhi                                   | 4         
projects                                 | 4         
monthly                                  | 3         
sejal                                    | 3         
nilesh                                   | 3         
ritu                                     | 3         
financial                                | 3         
priya                                    | 3         
premium                                  | 3         
hiral                                    | 3         
industries                               | 3         
thermal                                  | 3         
desai                                    | 3         
ketan                                    | 2         
software                                 | 2         
subscription                             | 2         
limited                                  | 2         
brands                                   | 2         
doshi                                    | 2         
jayesh                                   | 2         
parikh                                   | 2         
properties                               | 2         
consumer                                 | 2         
essentials                               | 2         
developers                               | 2         
gandhi                                   | 2         
bhatt                                    | 2         
solutions                                | 2         
trading                                  | 2         
house                                    | 2         
rakesh                                   | 2         
urban                                    | 2         
healthcare                               | 2         
builders                                 | 2         
vyas                                     | 2         
shruti                                   | 2         
gateway                                  | 2         
motor                                    | 2         
systems                                  | 2         
nisha                                    | 2         
infrastructure                           | 2         
mehul                                    | 2         
jhaveri                                  | 2         
suresh                                   | 2         
online                                   | 2         
banking                                  | 2         
healthc                                  | 2         
anjali                                   | 2         
investme                                 | 2         
nt                                       | 2         
services                                 | 2         
loan                                     | 2         
finance                                  | 2         
cnrbr946608852502                        | 1         
rames                                    | 1         
cnrbr432998576731                        | 1         
714240285711                             | 1         
263381008385                             | 1         
455478138440                             | 1         
414806262214                             | 1         
7221215049                               | 1         
468604178059                             | 1         
daily                                    | 1         
needs                                    | 1         
483204537234                             | 1         
webstream                                | 1         
96012                                    | 1         
159905059627                             | 1         
retail                                   | 1         
979861042993                             | 1         
8341562266                               | 1         
289880163674                             | 1         
803872716528                             | 1         
146700252018                             | 1         
cnrbr567266128536                        | 1         
775896754688                             | 1         
9000063913                               | 1         
courier                                  | 1         
networks                                 | 1         
151682483772                             | 1         
8500011910                               | 1         
commercial                               | 1         
property                                 | 1         
827158472265                             | 1         
459863740335                             | 1         
medical                                  | 1         
503069610507                             | 1         
partners                                 | 1         
719903389674                             | 1         
7175351096                               | 1         
850754548557                             | 1         
constructions                            | 1         
772299691570                             | 1         
183753116180                             | 1         
458456967032                             | 1         
463990380908                             | 1         
remedies                                 | 1         
icicr542957782860                        | 1         
estate                                   | 1         
274012913196                             | 1         
dinesh                                   | 1         
failed                                   | 1         
insufficient                             | 1         
funds                                    | 1         
cnrbr894402422411                        | 1         
kinjal                                   | 1         
183051936764                             | 1         
375824877917                             | 1         
373928384628                             | 1         
511590108367                             | 1         
manish                                   | 1         
888541071823                             | 1         
dairy                                    | 1         
296242301983                             | 1         
cnrbr524442597943                        | 1         
manis                                    | 1         
trivedi                                  | 1         
roadway                                  | 1         
infratech                                | 1         
183335850344                             | 1         
6851479055                               | 1         
141816810875                             | 1         
946682810709                             | 1         
8523908137                               | 1         
314059496623                             | 1         
raval                                    | 1         
728484373466                             | 1         
8935123986                               | 1         
476092739012                             | 1         
healthplus                               | 1         
pharma                                   | 1         
icicr693724741445                        | 1         
estates                                  | 1         
rajesh                                   | 1         
686278434411                             | 1         
828278755083                             | 1         
ramesh                                   | 1         
7708327152                               | 1         
skyline                                  | 1         
121135076031                             | 1         
icicr366090552313                        | 1         
reversal                                 | 1         
syst                                     | 1         
medcare                                  | 1         
laboratories                             | 1         
404016394949                             | 1         
cnrbr320016707853                        | 1         
201288050245                             | 1         
6679323286                               | 1         
icicr481689445330                        | 1         
cargo                                    | 1         
clothing                                 | 1         
436939128771                             | 1         
653637243614                             | 1         
721407675120                             | 1         
8849745176                               | 1         
cheque                                   | 1         
book                                     | 1         
icicr622876014764                        | 1         
255905911666                             | 1         
cityscape                                | 1         
787471598207                             | 1         
249685449606                             | 1         
7787998088                               | 1         
968097893929                             | 1         
utility                                  | 1         
439315451508                             | 1         
market                                   | 1         
distributors                             | 1         
216958671661                             | 1         
621652011249                             | 1         
fashion                                  | 1         
textiles                                 | 1         
585581881100                             | 1         
337638713566                             | 1         
hitesh                                   | 1         
7235340732                               | 1         
residential                              | 1         
cnrbr618421233526                        | 1         
rajes                                    | 1         
609360049714                             | 1         
7506500896                               | 1         
cnrbr860960705062                        | 1         
icicr943375445599                        | 1         
10945                                    | 1         
41736                                    | 1         
foundation                               | 1         
cnrbr771361910670                        | 1         
bna                                      | 1         
self                                     | 1         
131562115579                             | 1         
6767874462                               | 1         
195884765738                             | 1         
wellness                                 | 1         
803443967715                             | 1         
icicr474872037360                        | 1         
bhavesh                                  | 1         
765859533572                             | 1         
531372603092                             | 1         
63232                                    | 1         
icicr521678794498                        | 1         
wellnes                                  | 1         
labs                                     | 1         
754928451139                             | 1         
7262564548                               | 1         
icicr288651860328                        | 1         
icicr551466677126                        | 1         
paresh                                   | 1         
956271217485                             | 1         
686927672848                             | 1         
8549109833                               | 1         
foreign                                  | 1         
currency                                 | 1         
markup                                   | 1         
statement                                | 1         


